image,title,sold_date,json,address_street,address_locality,address_region,address_postal,address_country,type1,type2,number_of_rooms,price,price_usd,price_currency,url,size,size_unit,size_sqft,bed,bath,remark
https://ssl.cdn-redfin.com/photo/115/islphoto/241/genIslnoResize.22314241_0.jpg,"458 Chalet Ct, Rio Rico, AZ 85648",,"[{'@context': 'http://schema.org', 'name': '458 Chalet Ct, Rio Rico, AZ 85648', 'url': '/AZ/Rio-Rico/458-Chalet-Ct-85648/home/122144463', 'address': {'@type': 'PostalAddress', 'streetAddress': '458 Chalet Ct', 'addressLocality': 'Rio Rico', 'addressRegion': 'AZ', 'postalCode': '85648', 'addressCountry': 'US'}, 'numberOfRooms': '4', '@type': 'SingleFamilyResidence'}, {'@context': 'http://schema.org', '@type': 'Product', 'name': '458 Chalet Ct, Rio Rico, AZ 85648', 'offers': {'@type': 'Offer', 'price': '285000', 'priceCurrency': 'USD'}, 'url': '/AZ/Rio-Rico/458-Chalet-Ct-85648/home/122144463'}]",458 Chalet Ct,Rio Rico,AZ,85648,US,SingleFamilyResidence,Product,4,"$285,000",285000,USD,https://www.redfin.com/AZ/Rio-Rico/458-Chalet-Ct-85648/home/122144463,0.0,acre (lot),1680.0,4.0,3.0,"Santa Cruz County, AZ Home for SalePride of ownership is shown in this remarkable property nestled on a quiet cul-de-sac in Rio Rico! Discover a perfectly flowing layout showcasing striking vaulted ceilings, neutral tile floor, &  designer palette throughout. The immaculate eat-in kitchen offers tile counters, stainless steel appliances, recessed lighting, a pantry, &  an island equipped with a breakfast bar, perfect for casual conversation or quick morning snacks. Main bedroom features plush carpet in all the right places  &  a private bathroom with dual sinks. Spend relaxing afternoons in the charming backyard including a full-length covered patio  &  plenty of space to hang out. Don't miss out! This value 1 / 32$285,0004 beds3 baths1,680 sq ft0.28 acre (lot)458 Chalet Ct, Rio Rico, AZ 85648458 Chalet Ct, Rio Rico, AZ 85648"
https://ssl.cdn-redfin.com/photo/115/islphoto/642/genIslnoResize.22325642_0.jpg,"131-2 Amado Montosa Rd, Amado, AZ 85645",,"[{'@context': 'http://schema.org', 'name': '131-2 Amado Montosa Rd, Amado, AZ 85645', 'url': '/AZ/Amado/131-Amado-Montosa-Rd-85645/home/174466070', 'address': {'@type': 'PostalAddress', 'streetAddress': '131-2 Amado Montosa Rd', 'addressLocality': 'Amado', 'addressRegion': 'AZ', 'postalCode': '85645', 'addressCountry': 'US'}, 'numberOfRooms': '6', '@type': 'SingleFamilyResidence'}, {'@context': 'http://schema.org', '@type': 'Product', 'name': '131-2 Amado Montosa Rd, Amado, AZ 85645', 'offers': {'@type': 'Offer', 'price': '6500000', 'priceCurrency': 'USD'}, 'url': '/AZ/Amado/131-Amado-Montosa-Rd-85645/home/174466070'}]",131-2 Amado Montosa Rd,Amado,AZ,85645,US,SingleFamilyResidence,Product,6,"$6,500,000",6500000,USD,https://www.redfin.com/AZ/Amado/131-Amado-Montosa-Rd-85645/home/174466070,632.0,acres (lot),5400.0,6.0,8.0,"Santa Cruz County, AZ Home for SaleThe 3,792 acre Montosa Canyon Ranch is the premier Gentleman's Ranch in Arizona. It is located 30 minutes south of Tucson in Santa Cruz County spreading out across 632 deeded acres of lush irrigated pastures and rich native grasslands. There are also 3,160 acres of State leased land adjacent to the deeded acreage creating a ranch that is second to none. The ranch is set amid the sweeping landscapes of southern Arizona between Green Valley and Tubac at an ideal 3,100-foot elevation where the days are warm and sunny and the nights cool and clear. With the towering Santa Rita and Tumacacori Mountains as its backdrop, the ranch has been developed to the very highest standards of quality artisan1 / 57$6,500,0006 beds8 baths5,400 sq ft632.00 acres (lot)131-2 Amado Montosa Rd, Amado, AZ 85645131-2 Amado Montosa Rd, Amado, AZ 85645"
,"1829 Camino Lebanon --, Rio Rico, AZ 85648",,"[{'@context': 'http://schema.org', 'name': '1829 Camino Lebanon --, Rio Rico, AZ 85648', 'url': '/AZ/Rio-Rico/1829-Lebanon-85648/home/122159774', 'address': {'@type': 'PostalAddress', 'streetAddress': '1829 Camino Lebanon --', 'addressLocality': 'Rio Rico', 'addressRegion': 'AZ', 'postalCode': '85648', 'addressCountry': 'US'}, 'numberOfRooms': '3', '@type': 'SingleFamilyResidence'}, {'@context': 'http://schema.org', '@type': 'Product', 'name': '1829 Camino Lebanon --, Rio Rico, AZ 85648', 'offers': {'@type': 'Offer', 'price': '244900', 'priceCurrency': 'USD'}, 'url': '/AZ/Rio-Rico/1829-Lebanon-85648/home/122159774'}]",1829 Camino Lebanon --,Rio Rico,AZ,85648,US,SingleFamilyResidence,Product,3,"$244,900",244900,USD,https://www.redfin.com/AZ/Rio-Rico/1829-Lebanon-85648/home/122159774,0.0,acre (lot),1322.0,3.0,2.0,"Santa Cruz County, AZ Home for SaleEmbrace the breathtaking views of majestic mountains that serve as the backdrop to this exceptional property. Large windows strategically placed throughout the home allow natural light to illuminate the living spaces while providing uninterrupted views of the surrounding landscape. This brand new, 3-bedroom, 2-bathroom home spans an impressive 1,344 sqft, showcasing meticulous craftsmanship and attention to detail. The floor plan has a great room concept making it open, bright and airy. Step into a private retreat with a covered patio overlooking a naturally landscaped backyard. The outdoor space, spanning a generous 27,256 sqft, provides a tranquil setting for relaxation and al fresco gath1 / 3$244,9003 beds2 baths1,322 sq ft0.63 acre (lot)1829 Camino Lebanon --, Rio Rico, AZ 856481829 Camino Lebanon --, Rio Rico, AZ 85648"
https://ssl.cdn-redfin.com/photo/115/islphoto/643/genIslnoResize.22321643_0.jpg,"257 E Camino Vista Del Cielo --, Nogales, AZ 85621",,"[{'@context': 'http://schema.org', 'name': '257 E Camino Vista Del Cielo --, Nogales, AZ 85621', 'url': '/AZ/Nogales/257-E-Camino-Vista-del-Cielo-85621/home/122037183', 'address': {'@type': 'PostalAddress', 'streetAddress': '257 E Camino Vista Del Cielo --', 'addressLocality': 'Nogales', 'addressRegion': 'AZ', 'postalCode': '85621', 'addressCountry': 'US'}, 'numberOfRooms': '3', '@type': 'SingleFamilyResidence'}, {'@context': 'http://schema.org', '@type': 'Product', 'name': '257 E Camino Vista Del Cielo --, Nogales, AZ 85621', 'offers': {'@type': 'Offer', 'price': '355000', 'priceCurrency': 'USD'}, 'url': '/AZ/Nogales/257-E-Camino-Vista-del-Cielo-85621/home/122037183'}]",257 E Camino Vista Del Cielo --,Nogales,AZ,85621,US,SingleFamilyResidence,Product,3,"$355,000",355000,USD,https://www.redfin.com/AZ/Nogales/257-E-Camino-Vista-del-Cielo-85621/home/122037183,2.0,acres (lot),2450.0,3.0,3.0,"Santa Cruz County, AZ Home for SaleExceptional opportunity to own a remarkable home situated on a huge two-acre lot in coveted Indian Path Estates! Interior features include a welcoming formal entryway, a cozy living room, a spacious downstairs family room with built in shelving, laundry room with utility sink, dining area, custom wood cabinetry, large kitchen pantry, breakfast bar, stainless steel appliances, gas cooktop stove, and walk in closets! The interior was recently renovated to include all new flooring, paint, toilets and vanities! Exterior boasts a spacious carport two car garage with shelving, concrete driveway, covered back patio, fireplace, utility closet, built in planters and remarkable views of the surroundi1 / 11$355,0003 beds3 baths2,450 sq ft2.00 acres (lot)257 E Camino Vista Del Cielo --, Nogales, AZ 85621257 E Camino Vista Del Cielo --, Nogales, AZ 85621"
https://ssl.cdn-redfin.com/photo/115/islphoto/300/genIslnoResize.22320300_0.jpg,"46 Circulo Verdugo --, Rio Rico, AZ 85648",,"[{'@context': 'http://schema.org', 'name': '46 Circulo Verdugo --, Rio Rico, AZ 85648', 'url': '/AZ/Rio-Rico/46-Circulo-Verdugo-85648/home/122146250', 'address': {'@type': 'PostalAddress', 'streetAddress': '46 Circulo Verdugo --', 'addressLocality': 'Rio Rico', 'addressRegion': 'AZ', 'postalCode': '85648', 'addressCountry': 'US'}, 'numberOfRooms': '3', '@type': 'SingleFamilyResidence'}, {'@context': 'http://schema.org', '@type': 'Product', 'name': '46 Circulo Verdugo --, Rio Rico, AZ 85648', 'offers': {'@type': 'Offer', 'price': '325000', 'priceCurrency': 'USD'}, 'url': '/AZ/Rio-Rico/46-Circulo-Verdugo-85648/home/122146250'}]",46 Circulo Verdugo --,Rio Rico,AZ,85648,US,SingleFamilyResidence,Product,3,"$325,000",325000,USD,https://www.redfin.com/AZ/Rio-Rico/46-Circulo-Verdugo-85648/home/122146250,0.0,acre (lot),1553.0,3.0,2.0,"Santa Cruz County, AZ Home for SaleExcellent all-electric home with 3 bedrooms, 2 bathrooms with skylights, beautiful light fixtures, fireplace, breakfast bar, ceramic tile flooring, pantry closet, laundry room with sink, double garage, enclosed backyard where you can enjoy the beautiful Arizona sunsets under shade trees, cement slab across back of home. Colorful home shows great!1 / 20$325,0003 beds2 baths1,553 sq ft0.30 acre (lot)46 Circulo Verdugo --, Rio Rico, AZ 8564846 Circulo Verdugo --, Rio Rico, AZ 85648"
,"396 Willow Dr, Rio Rico, AZ 85648",,"[{'@context': 'http://schema.org', 'name': '396 Willow Dr, Rio Rico, AZ 85648', 'url': '/AZ/Rio-Rico/396-Willow-Dr-85648/home/122179035', 'address': {'@type': 'PostalAddress', 'streetAddress': '396 Willow Dr', 'addressLocality': 'Rio Rico', 'addressRegion': 'AZ', 'postalCode': '85648', 'addressCountry': 'US'}, 'numberOfRooms': '4', '@type': 'SingleFamilyResidence'}, {'@context': 'http://schema.org', '@type': 'Product', 'name': '396 Willow Dr, Rio Rico, AZ 85648', 'offers': {'@type': 'Offer', 'price': '329900', 'priceCurrency': 'USD'}, 'url': '/AZ/Rio-Rico/396-Willow-Dr-85648/home/122179035'}]",396 Willow Dr,Rio Rico,AZ,85648,US,SingleFamilyResidence,Product,4,"$329,900",329900,USD,https://www.redfin.com/AZ/Rio-Rico/396-Willow-Dr-85648/home/122179035,0.0,acre (lot),2375.0,4.0,3.0,"Santa Cruz County, AZ Home for SaleINTEREST BUYDOWN-$10,000 SELLER CONTRIBUTION!   Amazing opportunity for a move-in ready 4 bedroom/3 bath 2375 sq. ft. Santa Fe home built on a . 23 acre lot. Centrally located and minutes away from walking trails, fitness center, and restaurants. It has been recently renovated and offers plenty of space throughout the home. The open-concept kitchen includes plenty of cabinetry, granite countertops, all-new stainless steel appliances, and upgraded plumbing fixtures. The open areas of the dining and living room provide perfect space for the entire family to spread out comfortably. The dining area is just off the kitchen and has a beehive fireplace for an enjoyable dining experience. It has a 1 / 27$329,9004 beds3 baths2,375 sq ft0.23 acre (lot)396 Willow Dr, Rio Rico, AZ 85648396 Willow Dr, Rio Rico, AZ 85648"
https://ssl.cdn-redfin.com/photo/115/islphoto/129/genIslnoResize.22318129_0.jpg,"1015 Volcan Ct, Rio Rico, AZ 85648",,"[{'@context': 'http://schema.org', 'name': '1015 Volcan Ct, Rio Rico, AZ 85648', 'url': '/AZ/Rio-Rico/1015-Volcan-Ct-85648/home/122062030', 'address': {'@type': 'PostalAddress', 'streetAddress': '1015 Volcan Ct', 'addressLocality': 'Rio Rico', 'addressRegion': 'AZ', 'postalCode': '85648', 'addressCountry': 'US'}, 'numberOfRooms': '3', '@type': 'SingleFamilyResidence'}, {'@context': 'http://schema.org', '@type': 'Product', 'name': '1015 Volcan Ct, Rio Rico, AZ 85648', 'offers': {'@type': 'Offer', 'price': '239900', 'priceCurrency': 'USD'}, 'url': '/AZ/Rio-Rico/1015-Volcan-Ct-85648/home/122062030'}]",1015 Volcan Ct,Rio Rico,AZ,85648,US,SingleFamilyResidence,Product,3,"$239,900",239900,USD,https://www.redfin.com/AZ/Rio-Rico/1015-Volcan-Ct-85648/home/122062030,0.0,acre (lot),1490.0,3.0,2.0,"Santa Cruz County, AZ Home for SaleCentrally located home in Rio Rico. This 3 bedroom/2 bath home has a 1/2 acre lot with plenty of yard space in front and rear. The bonus rooms could be used as an extra bedroom or family room. Features included are vaulted ceilings, ceramic tile floors, a spacious kitchen, a large rear yard to park an RV vehicle, a storage shed, and more. Walking trails are nearby. It has easy access to the freeway, shopping, and restaurants.1 / 20$239,9003 beds2 baths1,490 sq ft0.47 acre (lot)1015 Volcan Ct, Rio Rico, AZ 856481015 Volcan Ct, Rio Rico, AZ 85648"
https://ssl.cdn-redfin.com/photo/86/islphoto/223/genIslnoResize.6617223_2.jpg,"571 Camino Arviso --, Rio Rico, AZ 85648",,"[{'@context': 'http://schema.org', 'name': '571 Camino Arviso --, Rio Rico, AZ 85648', 'url': '/AZ/Rio-Rico/571-Camino-Arviso-85648/home/122077559', 'address': {'@type': 'PostalAddress', 'streetAddress': '571 Camino Arviso --', 'addressLocality': 'Rio Rico', 'addressRegion': 'AZ', 'postalCode': '85648', 'addressCountry': 'US'}, 'numberOfRooms': '2', '@type': 'Accommodation'}, {'@context': 'http://schema.org', '@type': 'Product', 'name': '571 Camino Arviso --, Rio Rico, AZ 85648', 'offers': {'@type': 'Offer', 'price': '320000', 'priceCurrency': 'USD'}, 'url': '/AZ/Rio-Rico/571-Camino-Arviso-85648/home/122077559'}]",571 Camino Arviso --,Rio Rico,AZ,85648,US,Accommodation,Product,2,"$320,000",320000,USD,https://www.redfin.com/AZ/Rio-Rico/571-Camino-Arviso-85648/home/122077559,,,,2.0,2.0,"Santa Cruz County, AZ Home for SaleNew construction investment opportunity. This duplex offers the perfect blend of style and comfort. It can be a great investment or live in one and rent the other. The open-concept design flows seamlessly into the living space which creates a welcoming atmosphere for family and friends. Step into its modern kitchen which includes granite countertops and stainless steel appliances. This duplex has two bedrooms/2bathrooms upstairs and 1/2 bath downstairs. Each unit has 1179 square feet of livable space. It includes an indoor laundry closet for convenience to a daily routine. Each unit has a private balcony to enjoy the picturesque views of the San Cayetano Mountains nearby. Upgraded features 1 / 4$320,0002 beds2 baths—sq ft571 Camino Arviso --, Rio Rico, AZ 85648571 Camino Arviso --, Rio Rico, AZ 85648"
https://ssl.cdn-redfin.com/photo/86/islphoto/178/genIslnoResize.6618178_3.jpg,"282 Circulo Bellagio --, Rio Rico, AZ 85648",,"[{'@context': 'http://schema.org', 'name': '282 Circulo Bellagio --, Rio Rico, AZ 85648', 'url': '/AZ/Rio-Rico/282-Circulo-Bellagio-85648/home/122130743', 'address': {'@type': 'PostalAddress', 'streetAddress': '282 Circulo Bellagio --', 'addressLocality': 'Rio Rico', 'addressRegion': 'AZ', 'postalCode': '85648', 'addressCountry': 'US'}, 'numberOfRooms': '3', '@type': 'SingleFamilyResidence'}, {'@context': 'http://schema.org', '@type': 'Product', 'name': '282 Circulo Bellagio --, Rio Rico, AZ 85648', 'offers': {'@type': 'Offer', 'price': '475000', 'priceCurrency': 'USD'}, 'url': '/AZ/Rio-Rico/282-Circulo-Bellagio-85648/home/122130743'}]",282 Circulo Bellagio --,Rio Rico,AZ,85648,US,SingleFamilyResidence,Product,3,"$475,000",475000,USD,https://www.redfin.com/AZ/Rio-Rico/282-Circulo-Bellagio-85648/home/122130743,,,2053.0,3.0,2.0,"Santa Cruz County, AZ Home for SaleCentrally located in the highly desired Bella Vista North subdivision area, this beautiful home offers many upgraded features which include an additional 419 square feet of space in its elegantly designed AZ Room. The Arizona Room has been equipped with cabinet storage, a mini-split, &  a wet bar area. Enjoy a spacious great room with a beehive fireplace  &  a custom-built kitchen featuring granite countertops, fully upgraded appliances including a refrigerator, a tile backsplash, breakfast bar, a lazy susan, and a large pantry. A formal dining room and breakfast nook are also included in this lovely home. The plan design features a split bedroom floor plan. The large master bedroom1 / 33$475,0003 beds2.5 baths2,053 sq ft7,102 sq ft (lot)282 Circulo Bellagio --, Rio Rico, AZ 85648282 Circulo Bellagio --, Rio Rico, AZ 85648"
https://ssl.cdn-redfin.com/photo/115/islphoto/720/genIslnoResize.22320720_0.jpg,"1208 Circulo Aguilar --, Rio Rico, AZ 85648",,"[{'@context': 'http://schema.org', 'name': '1208 Circulo Aguilar --, Rio Rico, AZ 85648', 'url': '/AZ/Rio-Rico/1208-Circulo-Aguilar-85648/home/122354546', 'address': {'@type': 'PostalAddress', 'streetAddress': '1208 Circulo Aguilar --', 'addressLocality': 'Rio Rico', 'addressRegion': 'AZ', 'postalCode': '85648', 'addressCountry': 'US'}, 'numberOfRooms': '3', '@type': 'SingleFamilyResidence'}, {'@context': 'http://schema.org', '@type': 'Product', 'name': '1208 Circulo Aguilar --, Rio Rico, AZ 85648', 'offers': {'@type': 'Offer', 'price': '230000', 'priceCurrency': 'USD'}, 'url': '/AZ/Rio-Rico/1208-Circulo-Aguilar-85648/home/122354546'}]",1208 Circulo Aguilar --,Rio Rico,AZ,85648,US,SingleFamilyResidence,Product,3,"$230,000",230000,USD,https://www.redfin.com/AZ/Rio-Rico/1208-Circulo-Aguilar-85648/home/122354546,0.0,acre (lot),1301.0,3.0,2.0,"Santa Cruz County, AZ Home for SaleRio Rico Unit 3 home features sewer connection, underground utilities, 1301 sq. ft. home all-electric, 3 bedrooms, 2 baths, washer dryer, dishwasher, nice elevated lot, fenced back yard, covered back porch, baseboard heating, evaporative cooling.1 / 12$230,0003 beds2 baths1,301 sq ft0.80 acre (lot)1208 Circulo Aguilar --, Rio Rico, AZ 856481208 Circulo Aguilar --, Rio Rico, AZ 85648"
